name,name_clean,store,price,price_per_100,query,brand
Chicken Thigh Fillets,Chicken Thigh Fillets,aldi,5.69,0.632,chicken thighs,ASHFIELDS
Chicken Thigh Fillets,Chicken Thigh Fillets,aldi,4.59,0.765,chicken thighs,ASHFIELDS
Katsu Chicken Thigh Bites,Katsu Chicken Thigh Bites,aldi,2.39,0.7969999999999999,chicken thighs,GASTRO BY ROOSTERS
Peri Peri Chicken Thigh,Peri Peri Chicken Thigh,aldi,3.29,1.371,chicken thighs,ROOSTERS
Baby Spinach,Baby Spinach,aldi,1.15,0.479,baby spinach,NATURE'S PICK
British Baby Spinach,British Baby Spinach,aldi,1.59,0.353,baby spinach,NATURE'S PICK
Spinach & Ricotta Tortelloni,Spinach & Ricotta Tortelloni,aldi,1.69,0.563,baby spinach,CUCINA
Spinach & Ricotta Cannelloni,Spinach & Ricotta Cannelloni,aldi,2.79,0.6980000000000001,baby spinach,CUCINA
Spinach & Ricotta Mezzaluna,Spinach & Ricotta Mezzaluna,aldi,3.29,0.8230000000000001,baby spinach,SPECIALLY SELECTED GASTRO
Large Whole Chicken,Large Whole Chicken,aldi,4.79,0.259,whole chicken,ASHFIELDS
Medium Whole Chicken,Medium Whole Chicken,aldi,4.25,0.274,whole chicken,ASHFIELDS
Extra Large Whole Chicken,Extra Large Whole Chicken,aldi,5.49,0.255,whole chicken,ASHFIELDS
Ready To Eat Roast Whole Chicken,Ready To Eat Roast Whole Chicken,aldi,4.99,0.55,whole chicken,DELIMORE
Free Range Corn Fed Whole Chicken,Free Range Corn Fed Whole Chicken,aldi,2.63,0.525,whole chicken,SPECIALLY SELECTED
Oranges,Oranges,aldi,0.99,,oranges,NATURE'S PICK
Large Oranges,Large Oranges,aldi,1.79,,oranges,NATURE'S PICK
Wonky Oranges,Wonky Oranges,aldi,0.99,,oranges,EVERYDAY ESSENTIALS
Garlic & Parmesan Chicken En Croûte,Garlic & Parmesan Chicken En Croûte,aldi,3.59,0.884,parmesan,ASHFIELDS
Somerset Brie Cheese,Somerset Brie Cheese,aldi,1.69,1.252,brie,EMPORIUM
Brie de Meaux A.O.P French Cheese,Brie de Meaux A.O.P French Cheese,aldi,2.59,1.5699999999999998,brie,SPECIALLY SELECTED
Brie & Bacon with Tomato & Chilli Relish Sandwich,Brie & Bacon with Tomato & Chilli Relish Sandwich,aldi,1.99,,brie,EAT & GO
Iceberg Lettuce,Iceberg Lettuce,aldi,0.89,,iceberg lettuce,NATURE'S PICK
Chopped Iceberg Lettuce,Chopped Iceberg Lettuce,aldi,0.64,0.32,iceberg lettuce,NATURE'S PICK
British Romaine Lettuce,British Romaine Lettuce,aldi,1.15,,iceberg lettuce,NATURE'S PICK
British Sweet Gem Lettuce,British Sweet Gem Lettuce,aldi,0.95,,iceberg lettuce,NATURE'S PICK
British Little Gem Lettuce 2 Pack,British Little Gem Lettuce 2 Pack,aldi,0.77,,iceberg lettuce,NATURE'S PICK
Watercress Spinach & Rocket Salad,Watercress Spinach & Rocket Salad,aldi,0.85,1.0630000000000002,rocket salad,NATURE'S PICK
Rocket & Baby Leaf Salad,Rocket & Baby Leaf Salad,aldi,0.99,1.1,rocket salad,NATURE'S PICK
Wild Rocket,Wild Rocket,aldi,0.89,1.483,rocket salad,NATURE'S PICK
Beef Rocket Racers,Beef Rocket Racers,aldi,1.15,1.474,rocket salad,SNACKRITE
Rocket Lollies 8 Pack,Rocket Lollies 8 Pack,aldi,1.39,0.3,rocket salad,GIANNI'S
Chicken Drumsticks,Chicken Drumsticks,aldi,2.15,0.215,chicken drumsticks,ASHFIELDS
Ready To Eat Roast Chicken Drumsticks,Ready To Eat Roast Chicken Drumsticks,aldi,2.59,0.58,chicken drumsticks,ASHFIELD
Southern Fried Chicken Thighs & Drumsticks,Southern Fried Chicken Thighs & Drumsticks,aldi,3.79,0.474,chicken drumsticks,ROOSTERS
Halloumi Burger,Halloumi Burger,aldi,1.85,1.23,halloumi,CRESTWOOD
Halloumi Style Nuggets,Halloumi Style Nuggets,aldi,1.85,1.23,halloumi,CRESTWOOD
